skill_id,name,category,aliases
custom:tech/react,React,frontend_framework,"React.js,ReactJS,React JS"
custom:tech/vue,Vue.js,frontend_framework,"Vue,VueJS,Vue 3"
custom:tech/angular,Angular,frontend_framework,"AngularJS,Angular 2+"
custom:tech/svelte,Svelte,frontend_framework,"SvelteKit"
custom:tech/nextjs,Next.js,frontend_framework,"NextJS,Next"
custom:tech/nodejs,Node.js,runtime,"NodeJS,Node"
custom:tech/express,Express.js,backend_framework,"Express,ExpressJS"
custom:tech/fastapi,FastAPI,backend_framework,""
custom:tech/django,Django,backend_framework,"Django REST,Django REST Framework,DRF"
custom:tech/flask,Flask,backend_framework,""
custom:tech/spring,Spring Boot,backend_framework,"Spring,SpringBoot"
custom:tech/dotnet,.NET,backend_framework,"dotnet,.NET Core,ASP.NET"
custom:tech/docker,Docker,devops,"Docker Compose,Dockerfile,containerizzazione,containerization,Docker e containerizzazione"
custom:tech/kubernetes,Kubernetes,devops,"K8s,k8s,orchestrazione container,container orchestration"
custom:tech/terraform,Terraform,devops,"TF,HashiCorp Terraform"
custom:tech/ansible,Ansible,devops,""
custom:tech/jenkins,Jenkins,devops,"Jenkins CI"
custom:tech/github_actions,GitHub Actions,devops,"GH Actions"
custom:tech/gitlab_ci,GitLab CI/CD,devops,"GitLab CI"
custom:tech/aws,Amazon Web Services,cloud,"AWS,Amazon AWS,AWS (EC2 S3 Lambda)"
custom:tech/aws_lambda,AWS Lambda,cloud,"Lambda"
custom:tech/aws_ec2,AWS EC2,cloud,"EC2,Amazon EC2"
custom:tech/aws_s3,AWS S3,cloud,"S3,Amazon S3"
custom:tech/azure,Microsoft Azure,cloud,"Azure"
custom:tech/gcp,Google Cloud Platform,cloud,"GCP,Google Cloud"
custom:tech/postgresql,PostgreSQL,database,"Postgres,psql"
custom:tech/mysql,MySQL,database,"MariaDB"
custom:tech/mongodb,MongoDB,database,"Mongo"
custom:tech/redis,Redis,database,"Redis Cache"
custom:tech/elasticsearch,Elasticsearch,database,"ES,Elastic"
custom:tech/graphql,GraphQL,api,"GQL"
custom:tech/rest_api,REST API,api,"RESTful,REST"
custom:tech/git,Git,version_control,"GitHub,GitLab,Bitbucket"
custom:tech/c,C,programming_language,"C language,C programming"
custom:tech/cpp,C++,programming_language,"Cpp,C plus plus,CPlusPlus"
custom:tech/typescript,TypeScript,programming_language,"TS"
custom:tech/javascript,JavaScript,programming_language,"JS,ES6,ECMAScript"
custom:tech/python,Python,programming_language,"Python3,Py"
custom:tech/java,Java,programming_language,"Java SE,Java EE"
custom:tech/csharp,C#,programming_language,"CSharp,C Sharp"
custom:tech/golang,Go,programming_language,"Golang"
custom:tech/rust,Rust,programming_language,""
custom:tech/kotlin,Kotlin,programming_language,""
custom:tech/swift,Swift,programming_language,"SwiftUI"
custom:tech/php,PHP,programming_language,"PHP8,Laravel"
custom:tech/ruby,Ruby,programming_language,"Ruby on Rails,Rails,RoR"
custom:tech/scala,Scala,programming_language,""
custom:tech/html_css,HTML/CSS,web_basics,"HTML5,CSS3,HTML,CSS"
custom:tech/sass,SASS/SCSS,web_basics,"SASS,SCSS,Less"
custom:tech/tailwind,Tailwind CSS,web_basics,"TailwindCSS"
custom:tech/bootstrap,Bootstrap,web_basics,"Bootstrap 5"
custom:tech/webpack,Webpack,build_tool,"Webpack 5"
custom:tech/vite,Vite,build_tool,""
custom:tech/npm,npm,package_manager,"Node Package Manager"
custom:tech/yarn,Yarn,package_manager,""
custom:tech/pnpm,pnpm,package_manager,""
custom:tech/pytest,pytest,testing,"py.test"
custom:tech/jest,Jest,testing,"Jest JS"
custom:tech/cypress,Cypress,testing,"Cypress.io"
custom:tech/selenium,Selenium,testing,"Selenium WebDriver"
custom:tech/jupyter,Jupyter,data_science,"Jupyter Notebook,JupyterLab"
custom:tech/pandas,pandas,data_science,"Pandas"
custom:tech/numpy,NumPy,data_science,"Numpy"
custom:tech/scikit_learn,scikit-learn,machine_learning,"sklearn,Scikit-Learn"
custom:tech/tensorflow,TensorFlow,machine_learning,"TF,Tensorflow"
custom:tech/pytorch,PyTorch,machine_learning,"Torch"
custom:tech/keras,Keras,machine_learning,""
custom:tech/opencv,OpenCV,machine_learning,"CV2"
custom:tech/huggingface,Hugging Face,machine_learning,"HuggingFace,Transformers"
custom:tech/langchain,LangChain,machine_learning,"Lang Chain"
custom:tech/llm,Large Language Models,machine_learning,"LLM,LLMs,GPT"
custom:tech/spark,Apache Spark,big_data,"Spark,PySpark"
custom:tech/kafka,Apache Kafka,big_data,"Kafka"
custom:tech/airflow,Apache Airflow,big_data,"Airflow"
custom:tech/hadoop,Apache Hadoop,big_data,"Hadoop,HDFS,MapReduce"
custom:tech/beam,Apache Beam,big_data,"Beam,Dataflow,Apache Beam/Hadoop/Spark"
custom:tech/bigquery,BigQuery,database,"Google BigQuery,BQ"
custom:tech/snowflake,Snowflake,database,"Snowflake DB,Snowflake Data"
custom:tech/tableau,Tableau,data_visualization,""
custom:tech/powerbi,Power BI,data_visualization,"PowerBI"
custom:tech/figma,Figma,design,""
custom:tech/linux,Linux,operating_system,"Ubuntu,Debian,CentOS"
custom:tech/bash,Bash,scripting,"Shell,Shell scripting,Bash scripting"
custom:tech/powershell,PowerShell,scripting,"PS"
custom:tech/agile,Agile,methodology,"Agile methodology,Scrum,Kanban"
custom:tech/jira,Jira,project_tool,"Atlassian Jira"
custom:tech/confluence,Confluence,project_tool,"Atlassian Confluence"
custom:tech/rabbitmq,RabbitMQ,messaging,"AMQP,message queue,RabbitMQ o Redis"
custom:tech/kafka,Apache Kafka,messaging,"Kafka"
custom:cert/aws-saa,AWS Solutions Architect Associate,certification,"AWS Solutions Architect,AWS SAA,SAA-C03,Certificazione AWS Solutions Architect"
custom:cert/aws-sap,AWS Solutions Architect Professional,certification,"AWS SAP,SAP-C02"
custom:cert/aws-dev,AWS Developer Associate,certification,"AWS Developer,DVA-C02"
custom:cert/aws-sysops,AWS SysOps Administrator,certification,"AWS SysOps,SOA-C02"
custom:cert/aws-devops,AWS DevOps Engineer Professional,certification,"AWS DevOps,DOP-C02"
custom:cert/aws-ml,AWS Machine Learning Specialty,certification,"AWS ML,MLS-C01"
custom:cert/cka,Certified Kubernetes Administrator,certification,"CKA,Kubernetes Administrator"
custom:cert/ckad,Certified Kubernetes Application Developer,certification,"CKAD"
custom:cert/cks,Certified Kubernetes Security Specialist,certification,"CKS"
custom:cert/terraform,HashiCorp Terraform Associate,certification,"Terraform Certified,Terraform Associate"
custom:cert/az-900,Azure Fundamentals,certification,"AZ-900"
custom:cert/az-104,Azure Administrator,certification,"AZ-104,Azure Admin"
custom:cert/az-204,Azure Developer,certification,"AZ-204"
custom:cert/az-305,Azure Solutions Architect,certification,"AZ-305,Azure Architect"
custom:cert/gcp-ace,Google Cloud Associate Cloud Engineer,certification,"GCP ACE,Google ACE"
custom:cert/gcp-pca,Google Cloud Professional Cloud Architect,certification,"GCP PCA,Google PCA"
custom:cert/pmp,Project Management Professional,certification,"PMP"
custom:cert/psm,Professional Scrum Master,certification,"PSM,Scrum Master,PSM I,PSM II"
custom:cert/cspo,Certified Scrum Product Owner,certification,"CSPO,Product Owner"
custom:cert/comptia-sec,CompTIA Security+,certification,"Security+,CompTIA Sec+"
custom:cert/comptia-net,CompTIA Network+,certification,"Network+,CompTIA Net+"
custom:cert/cissp,CISSP,certification,"Certified Information Systems Security Professional"
custom:cert/ocjp,Oracle Certified Java Programmer,certification,"OCJP,Java Certified,OCP Java"
custom:cert/ckss,Cisco CCNA,certification,"CCNA,Cisco Certified Network Associate"
custom:cert/rhcsa,Red Hat Certified System Administrator,certification,"RHCSA"
custom:cert/docker-dca,Docker Certified Associate,certification,"DCA,Docker Certified"
